AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle,URLs
Joel West; Markus Perkmann,engineering; management; open innovation; engineering management; open science,2015,BookChapter,NA,10.7208/chicago/9780226178486.003.0002,Chapter 2. Open Science and Open Innovation: Sourcing Knowledge from Universities / Markus Perkmann and Joel West,NA
Arvid Lundervold,information technology; brain mapping; computer science; algorithm; signal processing; cognitive neuroscience; medical imaging; software; neuropsychology; open science,2012,Conference,NA,NA,Functional MRI — Signal processing algorithms and applications,NA
Scientific and Technical Information,open science; white paper; history; library science,2016,Book,NA,10.4000/books.oep.1635,White Paper — Open Science in a Digital Republic,NA
Martin Grötschel; Peter Weingart; Niels Christian Taubert,computer science; open science; library science,2016,BookChapter,NA,10.1515/9783110448115-010,"Elektronisches Publizieren, Open Access, Open Science und ähnliche Träume",NA
Michael Nielsen,open science; engineering; engineering ethics,2011,BookChapter,NA,10.1515/9781400839452-009,9. The Open Science Imperative,NA
Tiiu Tarkpea; Martin Hallik,engineering; open science; management science; simulation,2016,BookChapter,NA,10.1515/9783110464016-008,Open science policy – a twisted road and clear aims,NA
Scientific and Technical Information,art; white paper; open science; humanities,2016,BookChapter,NA,10.4000/books.oep.1645,Personal testimonies recorded for the White Paper: Converging principles for an approach to Open Science,NA
Scientific and Technical Information,open science; knowledge management; computer science,2016,BookChapter,NA,10.4000/books.oep.1647,The key concepts of Open Science,NA
Scientific and Technical Information,political science; open science; public administration; white paper; management,2017,Book,NA,10.4000/books.oep.1735,White Paper — Open Science in a Digital Republic — Strategic Guide: Study Review and Proposals for Implementing the Act,NA
Scientific and Technical Information,open science; political science; engineering ethics,2017,BookChapter,NA,10.4000/books.oep.1753,Creation of a national agency for Open Science,NA
Eric Kansa,engineering ethics; open science; political science,2014,BookChapter,NA,10.5334/ban.c,The Need to Humanize Open Science,NA
Scientific and Technical Information,engineering physics; engineering; open science,2016,BookChapter,NA,10.4000/books.oep.1651,Summary of proposals for Open Science,NA
Scientific and Technical Information,media studies; geography; open science,2016,BookChapter,NA,10.4000/books.oep.1646,Open Science around the world,NA
